tableName,database,host_port,timeCols,primaryKeys,dbVersion,targetTable
netpay_order_detail,jsrx,sh-cdbrg-dg52cnim.sql.tencentcdb.com:61565,create_time|update_time|refund_time,id|out_order_no,5.6,netpay_order_detail
netpay_refund,jsrx,sh-cdbrg-dg52cnim.sql.tencentcdb.com:61565,create_time|update_time|delete_time|refund_time,id|netpay_id|netpay_order,5.6,netpay_refund
netpay_refund_detail,jsrx,sh-cdbrg-dg52cnim.sql.tencentcdb.com:61565,create_time|update_time|delete_time|refund_time,id|netpay_id|oid,5.6,netpay_refund_detail
business_card_recharge_order,jsrx,sh-cdbrg-dg52cnim.sql.tencentcdb.com:61565,create_time|update_time|checktime,id|sp_order_id|order_id|netpay_order_id,5.6,business_card_recharge_order
compay_order_detail,jsrx,sh-cdbrg-dg52cnim.sql.tencentcdb.com:61565,create_time|update_time|refund_time,id|out_order_no,5.6,compay_order_detail
recharge_order,jsrx,sh-cdbrg-dg52cnim.sql.tencentcdb.com:61565,create_time|update_time|recharge_time|revocation_time,id|order_no,5.6,recharge_order
batch_recharge,jsrx,sh-cdbrg-dg52cnim.sql.tencentcdb.com:61565,create_time|update_time,id,5.6,batch_recharge
canteen_recharge_order,jsrx,sh-cdbrg-dg52cnim.sql.tencentcdb.com:61565,create_time|update_time|revocation_time,id|order_no|netpay_order_id,5.6,canteen_recharge_order
score_recharge,jsrx,sh-cdbrg-dg52cnim.sql.tencentcdb.com:61565,create_time|update_time|cancel_time,id|vip_id|source_id|transaction_id,5.6,score_recharge
szy_recharge_card,jsrx,sh-cdbrg-dg52cnim.sql.tencentcdb.com:61565,yeeos_recharge_time|use_time|add_time,id|card_number|sn,5.6,szy_recharge_card
shop_agent,jsrx,sh-cdbrg-dg52cnim.sql.tencentcdb.com:61565,create_time|update_time|delete_time,id|agent_no|erp_agent_no|shop_id|group_id,5.6,shop_agent
shop_agent_group,jsrx,sh-cdbrg-dg52cnim.sql.tencentcdb.com:61565,create_time|update_time,id,5.6,shop_agent_group
shop_agent_type,jsrx,sh-cdbrg-dg52cnim.sql.tencentcdb.com:61565,create_time|update_time,id,5.6,shop_agent_type
birth_shop_agent ,jsrx,sh-cdbrg-dg52cnim.sql.tencentcdb.com:61565,create_time|update_time,id|shop_agent_id,5.6,birth_shop_agent 
shop_user,jsrx,sh-cdbrg-dg52cnim.sql.tencentcdb.com:61565,create_time|update_time|delete_time,id|shop_agent_id|work_no,5.6,shop_user
gift_voucher_order,jsrx,sh-cdbrg-dg52cnim.sql.tencentcdb.com:61565,create_time|update_time|refund_time,id|order_no|netpay_id,5.6,gift_voucher_order
gift_voucher_goods,jsrx,sh-cdbrg-dg52cnim.sql.tencentcdb.com:61565,create_time|update_time|start_time|end_time,id,5.6,gift_voucher_goods
gift_voucher_sku,jsrx,sh-cdbrg-dg52cnim.sql.tencentcdb.com:61565,create_time|update_time,id|goods_id|price,5.6,gift_voucher_sku
time_limit_order,jsrx,sh-cdbrg-dg52cnim.sql.tencentcdb.com:61565,create_time|update_time|pay_time|refund_time,id|oid|netpay_order_id,5.6,time_limit_order
time_limit_goods,jsrx,sh-cdbrg-dg52cnim.sql.tencentcdb.com:61565,create_time|update_time|start_time|end_time,id|name|price,5.6,time_limit_goods
ddfx_order,jsrx,sh-cdbrg-dg52cnim.sql.tencentcdb.com:61565,create_time|update_time,id|order_no|ddfx_order_no|ddfx_trade_no|netpay_id,5.6,ddfx_order
hlfx_order,jsrx,sh-cdbrg-dg52cnim.sql.tencentcdb.com:61565,create_time|update_time,id|order_no|hlfx_order_no|hlfx_trade_no|netpay_id,5.6,hlfx_order
smfx_order,jsrx,sh-cdbrg-dg52cnim.sql.tencentcdb.com:61565,create_time|update_time,id|order_no|smfx_order_no|smfx_trade_no|netpay_id,5.6,smfx_order
yhfx_order,jsrx,sh-cdbrg-dg52cnim.sql.tencentcdb.com:61565,create_time|update_time,id|order_no|yhfx_order_no|yhfx_trade_no|netpay_id,5.6,yhfx_order
pagoda_recharge_order,jsrx,sh-cdbrg-dg52cnim.sql.tencentcdb.com:61565,create_time|update_time,id|order_no|netpay_order_id,5.6,pagoda_recharge_order
msqt_order,jsrx,sh-cdbrg-dg52cnim.sql.tencentcdb.com:61565,create_time|update_time,id|order_no|netpay_id|msqt_order_no|msqt_trade_no,5.6,msqt_order
xiongdi_order,jsrx,sh-cdbrg-dg52cnim.sql.tencentcdb.com:61565,create_time|update_time,id|order_no|netpay_order_id,5.6,xiongdi_order
eleme_order,jsrx,sh-cdbrg-dg52cnim.sql.tencentcdb.com:61565,create_time|update_time,id|order_no|netpay_id|ele_order_id,5.6,eleme_order
alipay_red_envelope_order,jsrx,sh-cdbrg-dg52cnim.sql.tencentcdb.com:61565,create_time|update_time,id|order_no|activity_order_id|netpay_id|activity_no,5.6,alipay_red_envelope_order
vc_config,jsrx,sh-cdbrg-dg52cnim.sql.tencentcdb.com:61565,,id|vtype|band,5.6,vc_config
voucher_goods,jsrx,sh-cdbrg-dg52cnim.sql.tencentcdb.com:61565,create_time|update_time|delete_time,id|type|name|status,5.6,voucher_goods
birth_vc,jsrx,sh-cdbrg-dg52cnim.sql.tencentcdb.com:61565,create_time|update_time,id|type|band,5.6,birth_vc
new_location,jsrx,sh-cdbrg-dg52cnim.sql.tencentcdb.com:61565,,id|province_id|city_id|area_id,5.6,new_location
province ,jsrx,sh-cdbrg-dg52cnim.sql.tencentcdb.com:61565,,id,5.6,province 
city,jsrx,sh-cdbrg-dg52cnim.sql.tencentcdb.com:61565,,id,5.6,city
area,jsrx,sh-cdbrg-dg52cnim.sql.tencentcdb.com:61565,,id,5.6,area
task_coupon_log,jsrx,sh-cdbrg-dg52cnim.sql.tencentcdb.com:61565,create_time|update_time,id|no|product_no,5.6,task_coupon_log
user,jsrx,sh-cdbrg-dg52cnim.sql.tencentcdb.com:61565,ctime,id,5.6,user
auth_access,jsrx,sh-cdbrg-dg52cnim.sql.tencentcdb.com:61565,,"uid,group_id",5.6,auth_access
auth_group,jsrx,sh-cdbrg-dg52cnim.sql.tencentcdb.com:61565,,id,5.6,auth_group
white_charged_config,jsrx,sh-cdbrg-dg52cnim.sql.tencentcdb.com:61565,create_time|update_time|delete_time,id|vip_id|app_id|mobile,5.6,white_charged_config
app_name_config,jsrx,sh-cdbrg-dg52cnim.sql.tencentcdb.com:61565,,id,5.6,app_name_config
card_place_applicat,jsrx,sh-cdbrg-dg52cnim.sql.tencentcdb.com:61565,create_time|update_time,id|card_place_id|applicate_id,5.6,card_place_applicat
card_place,jsrx,sh-cdbrg-dg52cnim.sql.tencentcdb.com:61565,create_time|update_time,id|province_id|city_id|area_id,5.6,card_place
home_nav,jsrx,sh-cdbrg-dg52cnim.sql.tencentcdb.com:61565,,id,5.6,home_nav
card_place_vtype,jsrx,sh-cdbrg-dg52cnim.sql.tencentcdb.com:61565,create_time|update_time,id|card_place_id|vtype,5.6,card_place_vtype
voucher_cate,jsrx,sh-cdbrg-dg52cnim.sql.tencentcdb.com:61565,,id,5.6,voucher_cate
coupon_place,jsrx,sh-cdbrg-dg52cnim.sql.tencentcdb.com:61565,create_time|update_time,id|province_id|city_id|area_id|location_id,5.6,coupon_place
bianmin_set_config,jsrx,sh-cdbrg-dg52cnim.sql.tencentcdb.com:61565,update_time,id,5.6,bianmin_set_config
bianmin_place,jsrx,sh-cdbrg-dg52cnim.sql.tencentcdb.com:61565,create_time|update_time,id|bianmin_id|province_id|city_id|area_id|location_id,5.6,bianmin_place
score_growth,jsrx,sh-cdbrg-dg52cnim.sql.tencentcdb.com:61565,create_time|update_time,id|vip_id,5.6,score_growth
voucher_flq,jsrx,sh-cdbrg-dg52cnim.sql.tencentcdb.com:61565,,"vtype,gid,is_channel",5.6,voucher_flq
birth_voucher_flq,jsrx,sh-cdbrg-dg52cnim.sql.tencentcdb.com:61565,,"vtype,gid,channel",5.6,birth_voucher_flq
card,jsrx,sh-cdbrg-dg52cnim.sql.tencentcdb.com:61565,create_time|update_time,id|no|vip_id|is_main_card,5.6,card
bjk,jsrx,sh-cdbrg-dg52cnim.sql.tencentcdb.com:61565,create_time|update_time,id|no|vip_id|is_main_card,5.6,bjk
business_card,jsrx,sh-cdbrg-dg52cnim.sql.tencentcdb.com:61565,create_time|update_time,id|no|vip_id|is_del,5.6,business_card
canteen_card,jsrx,sh-cdbrg-dg52cnim.sql.tencentcdb.com:61565,create_time|update_time,id|no|vip_id|is_del,5.6,canteen_card
voucher_card,jsrx,sh-cdbrg-dg52cnim.sql.tencentcdb.com:61565,create_time|update_time,id|no|vip_id|is_del,5.6,voucher_card
birth_main,jsrx,sh-cdbrg-dg52cnim.sql.tencentcdb.com:61565,create_time|update_time,id|no|vip_id|is_main_card,5.6,birth_main
gift_card,jsrx,sh-cdbrg-dg52cnim.sql.tencentcdb.com:61565,create_time|update_time,id|no|vip_id|is_del,5.6,gift_card
business_card_log,jsrx,sh-cdbrg-dg52cnim.sql.tencentcdb.com:61565,create_time|update_time,id|card_no|vip_id,5.6,business_card_log
jingdong_order,jsrx,sh-cdbrg-dg52cnim.sql.tencentcdb.com:61565,create_time|update_time|delete_time,id|netpay_id|oid,5.6,jingdong_order
jingdong_goods,jsrx,sh-cdbrg-dg52cnim.sql.tencentcdb.com:61565,create_time|update_time|delete_time,id|price|status,5.6,jingdong_goods
t_after_sales_order,bjwk_db,120.253.251.103:4406,audit_time|create_order_time|create_time|refund_finish_time|finish_time,id,5.7,t_after_sales_order
t_eva_goods,bjwk_db,120.253.251.103:4406,eva_time,id,5.7,t_eva_goods
t_goods,bjwk_db,120.253.251.103:4406,goods_added_time|goods_unadded_time|create_time|mod_time,goods_id,5.7,t_goods
t_goods_brand,bjwk_db,120.253.251.103:4406,create_time|mod_time,brand_id,5.7,t_goods_brand
t_goods_category,bjwk_db,120.253.251.103:4406,create_time|mod_time,cat_id,5.7,t_goods_category
t_goods_item,bjwk_db,120.253.251.103:4406,goods_item_added_time|goods_item_unadded_time|create_time|mod_time,goods_item_id,5.7,t_goods_item
t_order,bjwk_db,120.253.251.103:4406,create_time|create_datestamp|payment_time|payment_datestamp|receipt_time|receipt_datestamp|delivery_time|delivery_datestamp|deliverytime|audit_time|audit_timestamp|cancle_time|refund_apply_time|refund_audit_time|finish_time|finish_datestamp|transaction_time|refund_finish_time,id,5.7,t_order
t_order_details,bjwk_db,120.253.251.103:4406,receiving_time|receiving_timetamp|price_time,id,5.7,t_order_details
t_store_info,bjwk_db,120.253.251.103:4406,expiry_time|create_time|mod_time|check_time|announcement_begin_time|announcement_end_time,store_id,5.7,t_store_info
t_ticket,bjwk_db,120.253.251.103:4406,get_time|create_time|mod_time,id,5.7,t_ticket
